318.84555054	3.27450991
318.85098267	3.21568632
318.85421753	3.27450991
318.85421753	3.25490189
318.86022949	3.00000000
318.86761475	2.50980401
318.86761475	1.90196073
318.86761475	1.58823526
318.87200928	1.68627453
318.87411499	1.88235295
318.87863159	1.96078432
318.88275146	1.72549021
318.88809204	1.50980389
318.88809204	1.56862748
318.89065552	1.82352936
318.89471436	2.15686274
318.89904785	2.25490189
318.89904785	2.27450991
318.90270996	2.00000000
318.90689087	1.96078432
318.91098022	2.09803915
318.91098022	2.35294127
318.91506958	2.66666675
318.91931152	2.68627453
318.92333984	2.33333325
318.92749023	2.25490189
318.93173218	2.37254906
318.93173218	2.66666675
318.93569946	2.82352948
318.94018555	2.74509811
318.94375610	2.50980401
318.94375610	2.25490189
318.94815063	2.31372547
318.95190430	2.50980401
318.95611572	2.74509811
318.95611572	2.78431368
318.96054077	2.62745094
318.96466064	2.39215684
318.96862793	2.39215684
318.97247314	2.54901958
318.97668457	2.80392146
318.97668457	2.78431368
318.98062134	2.64705873
318.98464966	2.41176462
318.98950195	2.37254906
318.98950195	2.50980401
318.99291992	2.78431368
318.99710083	2.92156863
319.00146484	2.76470590
319.00146484	2.54901958
319.00524902	2.39215684
319.00933838	2.52941179
319.01358032	2.88235283
319.01766968	2.94117641
319.02151489	2.90196085
319.02151489	2.64705873
319.02563477	2.47058821
319.03070068	2.52941179
319.03399658	2.80392146
319.03399658	3.03921580
319.03823853	3.03921580
319.04208374	2.86274505
319.04647827	2.60784316
319.04647827	2.60784316
319.05056763	2.68627453
319.05441284	3.00000000
319.05850220	2.96078420
319.06259155	2.74509811
319.06848145	2.43137264
319.06848145	2.50980401
319.07141113	2.54901958
319.07479858	2.76470590
319.07955933	2.82352948
319.07955933	2.74509811
319.08309937	2.39215684
319.08712769	2.27450991
319.09121704	2.27450991
319.09121704	2.47058821
319.09536743	2.64705873
319.09939575	2.62745094
319.10351563	2.15686274
319.10769653	2.00000000
319.11181641	2.13725495
319.11181641	2.39215684
319.11572266	2.45098042
319.11987305	2.39215684
319.12399292	2.15686274
319.12399292	1.98039210
319.12799072	2.01960778
319.13220215	2.27450991
319.13635254	2.49019599
319.13635254	2.50980401
319.14047241	2.45098042
319.14450073	2.11764717
319.14846802	2.07843137
319.15264893	2.33333325
319.15673828	2.56862736
319.15673828	2.50980401
319.16110229	2.29411769
319.16510010	2.09803915
319.16949463	2.01960778
319.16949463	2.27450991
319.17337036	2.43137264
319.17742920	2.54901958
319.18157959	2.50980401
319.18157959	2.27450991
319.18560791	2.07843137
319.19024658	2.13725495
319.19433594	2.64705873
319.19836426	2.56862736
319.20193481	2.47058821
